customer_id,total_spend,avg_order_value,total_transactions,avg_review_score,promo_dependency_score,loyalty_segment,satisfaction_flag
41,76,76.0,31,4.6,1.0,Bargain Hunters,High
42,39,39.0,40,4.5,1.0,Bargain Hunters,High
43,100,100.0,15,4.1,1.0,Bargain Hunters,High
44,69,69.0,19,3.7,1.0,Bargain Hunters,At-Risk
45,53,53.0,45,4.6,1.0,Bargain Hunters,High
46,21,21.0,25,2.9,1.0,Bargain Hunters,At-Risk
47,43,43.0,45,2.9,1.0,Bargain Hunters,At-Risk
48,54,54.0,36,4.5,1.0,Bargain Hunters,High
49,55,55.0,38,2.7,1.0,Bargain Hunters,At-Risk
50,30,30.0,34,4.6,1.0,Bargain Hunters,High
51,28,28.0,39,3.7,1.0,Bargain Hunters,At-Risk
52,59,59.0,7,4.7,1.0,Bargain Hunters,High
53,20,20.0,26,2.6,1.0,Bargain Hunters,At-Risk
54,24,24.0,35,3.9,1.0,Bargain Hunters,At-Risk
55,94,94.0,35,4.2,1.0,Bargain Hunters,High
56,28,28.0,49,3.0,1.0,Bargain Hunters,At-Risk
57,73,73.0,46,4.7,1.0,Bargain Hunters,High
58,64,64.0,17,4.4,1.0,Bargain Hunters,High
59,54,54.0,29,4.2,1.0,Bargain Hunters,High
60,79,79.0,4,4.6,1.0,Bargain Hunters,High
61,37,37.0,17,4.0,1.0,Bargain Hunters,High
62,68,68.0,21,4.7,1.0,Bargain Hunters,High
63,21,21.0,31,3.8,1.0,Bargain Hunters,At-Risk
64,79,79.0,43,2.7,1.0,Bargain Hunters,At-Risk
65,83,83.0,18,4.8,1.0,Bargain Hunters,High
66,36,36.0,44,4.8,1.0,Bargain Hunters,High
67,94,94.0,3,4.7,1.0,Bargain Hunters,High
68,33,33.0,49,4.4,1.0,Bargain Hunters,High
69,46,46.0,21,3.9,1.0,Bargain Hunters,At-Risk
70,70,70.0,5,4.4,1.0,Bargain Hunters,High
71,29,29.0,32,4.2,1.0,Bargain Hunters,High
72,48,48.0,34,2.9,1.0,Bargain Hunters,At-Risk
73,26,26.0,21,2.9,1.0,Bargain Hunters,At-Risk
74,85,85.0,43,2.7,1.0,Bargain Hunters,At-Risk
75,58,58.0,3,4.5,1.0,Bargain Hunters,High
76,85,85.0,21,2.7,1.0,Bargain Hunters,At-Risk
77,43,43.0,32,4.2,1.0,Bargain Hunters,High
78,53,53.0,36,3.3,1.0,Bargain Hunters,At-Risk
79,91,91.0,50,4.7,1.0,Bargain Hunters,High
80,96,96.0,43,2.6,1.0,Bargain Hunters,At-Risk
81,72,72.0,24,3.3,1.0,Bargain Hunters,At-Risk
82,96,96.0,36,2.6,1.0,Bargain Hunters,At-Risk
83,28,28.0,21,4.0,1.0,Bargain Hunters,High
84,40,40.0,34,4.1,1.0,Bargain Hunters,High
85,32,32.0,42,4.4,1.0,Bargain Hunters,High
86,95,95.0,2,4.5,1.0,Bargain Hunters,High
87,41,41.0,47,3.7,1.0,Bargain Hunters,At-Risk
88,53,53.0,44,3.7,1.0,Bargain Hunters,At-Risk
89,47,47.0,35,3.5,1.0,Bargain Hunters,At-Risk
90,83,83.0,15,3.6,1.0,Bargain Hunters,At-Risk
91,48,48.0,29,2.9,1.0,Bargain Hunters,At-Risk
92,99,99.0,18,4.6,1.0,Bargain Hunters,High
93,87,87.0,13,4.4,1.0,Bargain Hunters,High
94,62,62.0,46,4.5,1.0,Bargain Hunters,High
95,76,76.0,28,4.6,1.0,Bargain Hunters,High
96,100,100.0,48,3.8,1.0,Bargain Hunters,At-Risk
97,73,73.0,43,3.6,1.0,Bargain Hunters,At-Risk
98,92,92.0,37,4.8,1.0,Bargain Hunters,High
99,67,67.0,20,2.6,1.0,Bargain Hunters,At-Risk
100,40,40.0,33,3.7,1.0,Bargain Hunters,At-Risk
101,98,98.0,31,2.7,1.0,Bargain Hunters,At-Risk
102,85,85.0,50,4.6,1.0,Bargain Hunters,High
103,67,67.0,35,4.8,1.0,Bargain Hunters,High
104,89,89.0,22,4.0,1.0,Bargain Hunters,High
105,24,24.0,1,4.4,1.0,Bargain Hunters,High
106,96,96.0,4,3.6,1.0,Bargain Hunters,At-Risk
107,35,35.0,31,3.7,1.0,Bargain Hunters,At-Risk
108,67,67.0,46,3.1,1.0,Bargain Hunters,At-Risk
109,79,79.0,32,3.4,1.0,Bargain Hunters,At-Risk
110,85,85.0,43,2.6,1.0,Bargain Hunters,At-Risk
111,26,26.0,26,4.0,1.0,Bargain Hunters,High
112,75,75.0,9,5.0,1.0,Bargain Hunters,High
113,65,65.0,28,4.3,1.0,Bargain Hunters,High
114,54,54.0,20,3.1,1.0,Bargain Hunters,At-Risk
115,95,95.0,9,3.7,1.0,Bargain Hunters,At-Risk
116,94,94.0,48,3.8,1.0,Bargain Hunters,At-Risk
117,86,86.0,12,3.4,1.0,Bargain Hunters,At-Risk
118,32,32.0,29,4.6,1.0,Bargain Hunters,High
119,45,45.0,27,4.8,1.0,Bargain Hunters,High
120,76,76.0,44,4.3,1.0,Bargain Hunters,High
121,84,84.0,32,4.0,1.0,Bargain Hunters,High
122,72,72.0,11,4.2,1.0,Bargain Hunters,High
123,40,40.0,44,4.8,1.0,Bargain Hunters,High
124,89,89.0,46,3.1,1.0,Bargain Hunters,At-Risk
125,86,86.0,50,3.1,1.0,Bargain Hunters,At-Risk
126,54,54.0,45,3.6,1.0,Bargain Hunters,At-Risk
127,36,36.0,48,3.9,1.0,Bargain Hunters,At-Risk
128,89,89.0,26,4.8,1.0,Bargain Hunters,High
129,32,32.0,21,4.7,1.0,Bargain Hunters,High
130,67,67.0,49,4.2,1.0,Bargain Hunters,High
131,39,39.0,13,3.7,1.0,Bargain Hunters,At-Risk
132,29,29.0,46,3.9,1.0,Bargain Hunters,At-Risk
133,58,58.0,42,4.7,1.0,Bargain Hunters,High
134,65,65.0,25,2.5,1.0,Bargain Hunters,At-Risk
135,94,94.0,25,4.9,1.0,Bargain Hunters,High
136,81,81.0,12,4.1,1.0,Bargain Hunters,High
137,86,86.0,4,3.3,1.0,Bargain Hunters,At-Risk
138,43,43.0,38,4.7,1.0,Bargain Hunters,High
139,29,29.0,42,4.4,1.0,Bargain Hunters,High
140,95,95.0,30,3.8,1.0,Bargain Hunters,At-Risk
141,28,28.0,50,3.9,1.0,Bargain Hunters,At-Risk
142,46,46.0,45,4.9,1.0,Bargain Hunters,High
143,58,58.0,33,3.1,1.0,Bargain Hunters,At-Risk
144,48,48.0,25,2.7,1.0,Bargain Hunters,At-Risk
145,43,43.0,25,3.2,1.0,Bargain Hunters,At-Risk
146,95,95.0,44,4.5,1.0,Bargain Hunters,High
147,30,30.0,21,4.0,1.0,Bargain Hunters,High
148,64,64.0,31,3.5,1.0,Bargain Hunters,At-Risk
149,90,90.0,47,2.6,1.0,Bargain Hunters,At-Risk
150,76,76.0,14,3.2,1.0,Bargain Hunters,At-Risk
151,96,96.0,17,4.9,1.0,Bargain Hunters,High
152,47,47.0,3,4.5,1.0,Bargain Hunters,High
153,85,85.0,42,4.3,1.0,Bargain Hunters,High
154,55,55.0,22,3.2,1.0,Bargain Hunters,At-Risk
155,98,98.0,21,3.6,1.0,Bargain Hunters,At-Risk
156,77,77.0,21,4.3,1.0,Bargain Hunters,High
157,26,26.0,40,4.0,1.0,Bargain Hunters,High
158,68,68.0,1,3.0,1.0,Bargain Hunters,At-Risk
159,73,73.0,50,4.1,1.0,Bargain Hunters,High
160,27,27.0,39,3.8,1.0,Bargain Hunters,At-Risk
161,23,23.0,34,4.6,1.0,Bargain Hunters,High
162,49,49.0,29,3.0,1.0,Bargain Hunters,At-Risk
163,74,74.0,31,3.0,1.0,Bargain Hunters,At-Risk
164,67,67.0,8,3.4,1.0,Bargain Hunters,At-Risk
165,65,65.0,5,2.6,1.0,Bargain Hunters,At-Risk
166,60,60.0,7,2.8,1.0,Bargain Hunters,At-Risk
167,31,31.0,30,4.0,1.0,Bargain Hunters,High
168,27,27.0,14,4.0,1.0,Bargain Hunters,High
169,80,80.0,5,3.0,1.0,Bargain Hunters,At-Risk
170,30,30.0,3,3.3,1.0,Bargain Hunters,At-Risk
171,25,25.0,46,2.6,1.0,Bargain Hunters,At-Risk
172,35,35.0,4,3.6,1.0,Bargain Hunters,At-Risk
173,67,67.0,42,3.9,1.0,Bargain Hunters,At-Risk
174,46,46.0,30,3.4,1.0,Bargain Hunters,At-Risk
175,35,35.0,37,3.5,1.0,Bargain Hunters,At-Risk
176,86,86.0,2,2.8,1.0,Bargain Hunters,At-Risk
177,81,81.0,30,2.7,1.0,Bargain Hunters,At-Risk
178,42,42.0,47,3.7,1.0,Bargain Hunters,At-Risk
179,43,43.0,21,4.3,1.0,Bargain Hunters,High
180,31,31.0,9,4.9,1.0,Bargain Hunters,High
181,81,81.0,12,3.3,1.0,Bargain Hunters,At-Risk
182,61,61.0,4,4.7,1.0,Bargain Hunters,High
183,96,96.0,10,2.8,1.0,Bargain Hunters,At-Risk
184,29,29.0,26,3.6,1.0,Bargain Hunters,At-Risk
185,33,33.0,40,3.0,1.0,Bargain Hunters,At-Risk
186,32,32.0,34,4.5,1.0,Bargain Hunters,High
187,56,56.0,31,2.9,1.0,Bargain Hunters,At-Risk
188,94,94.0,1,3.3,1.0,Bargain Hunters,At-Risk
189,53,53.0,5,3.1,1.0,Bargain Hunters,At-Risk
190,82,82.0,4,4.4,1.0,Bargain Hunters,High
191,70,70.0,48,3.0,1.0,Bargain Hunters,At-Risk
192,76,76.0,29,3.9,1.0,Bargain Hunters,At-Risk
193,29,29.0,12,2.9,1.0,Bargain Hunters,At-Risk
194,100,100.0,29,3.0,1.0,Bargain Hunters,At-Risk
195,94,94.0,15,3.1,1.0,Bargain Hunters,At-Risk
196,25,25.0,34,4.3,1.0,Bargain Hunters,High
197,88,88.0,41,3.9,1.0,Bargain Hunters,At-Risk
198,78,78.0,41,3.2,1.0,Bargain Hunters,At-Risk
199,45,45.0,39,4.8,1.0,Bargain Hunters,High
200,73,73.0,32,3.8,1.0,Bargain Hunters,At-Risk
201,61,61.0,29,3.3,1.0,Bargain Hunters,At-Risk
202,22,22.0,15,4.3,1.0,Bargain Hunters,High
203,38,38.0,33,2.7,1.0,Bargain Hunters,At-Risk
204,38,38.0,18,3.2,1.0,Bargain Hunters,At-Risk
205,100,100.0,35,4.0,1.0,Bargain Hunters,High
206,64,64.0,25,3.0,1.0,Bargain Hunters,At-Risk
207,55,55.0,6,4.2,1.0,Bargain Hunters,High
208,91,91.0,17,2.9,1.0,Bargain Hunters,At-Risk
209,38,38.0,17,4.1,1.0,Bargain Hunters,High
210,97,97.0,44,3.2,1.0,Bargain Hunters,At-Risk
211,22,22.0,6,3.0,1.0,Bargain Hunters,At-Risk
212,92,92.0,45,4.2,1.0,Bargain Hunters,High
213,84,84.0,7,4.2,1.0,Bargain Hunters,High
214,93,93.0,11,4.4,1.0,Bargain Hunters,High
215,50,50.0,41,4.2,1.0,Bargain Hunters,High
216,64,64.0,24,2.8,1.0,Bargain Hunters,At-Risk
217,61,61.0,21,3.7,1.0,Bargain Hunters,At-Risk
218,48,48.0,24,3.5,1.0,Bargain Hunters,At-Risk
219,45,45.0,8,2.9,1.0,Bargain Hunters,At-Risk
220,88,88.0,12,3.0,1.0,Bargain Hunters,At-Risk
221,57,57.0,48,3.7,1.0,Bargain Hunters,At-Risk
222,68,68.0,6,4.4,1.0,Bargain Hunters,High
223,94,94.0,14,4.5,1.0,Bargain Hunters,High
224,41,41.0,34,4.8,1.0,Bargain Hunters,High
225,83,83.0,12,2.9,1.0,Bargain Hunters,At-Risk
226,22,22.0,11,3.2,1.0,Bargain Hunters,At-Risk
227,74,74.0,5,3.3,1.0,Bargain Hunters,At-Risk
228,90,90.0,25,4.2,1.0,Bargain Hunters,High
229,79,79.0,11,2.9,1.0,Bargain Hunters,At-Risk
230,28,28.0,27,4.6,1.0,Bargain Hunters,High
231,88,88.0,43,4.1,1.0,Bargain Hunters,High
232,26,26.0,18,3.1,1.0,Bargain Hunters,At-Risk
233,27,27.0,32,4.2,1.0,Bargain Hunters,High
234,83,83.0,27,4.5,1.0,Bargain Hunters,High
235,39,39.0,24,3.7,1.0,Bargain Hunters,At-Risk
236,89,89.0,31,3.7,1.0,Bargain Hunters,At-Risk
237,68,68.0,39,3.4,1.0,Bargain Hunters,At-Risk
238,90,90.0,36,3.0,1.0,Bargain Hunters,At-Risk
239,34,34.0,5,4.2,1.0,Bargain Hunters,High
240,51,51.0,47,2.9,1.0,Bargain Hunters,At-Risk
241,45,45.0,29,3.5,1.0,Bargain Hunters,At-Risk
242,88,88.0,43,4.1,1.0,Bargain Hunters,High
243,85,85.0,40,4.3,1.0,Bargain Hunters,High
244,100,100.0,4,2.8,1.0,Bargain Hunters,At-Risk
245,42,42.0,39,4.9,1.0,Bargain Hunters,High
246,53,53.0,45,3.3,1.0,Bargain Hunters,At-Risk
247,86,86.0,20,3.2,1.0,Bargain Hunters,At-Risk
248,66,66.0,14,4.4,1.0,Bargain Hunters,High
249,100,100.0,33,4.8,1.0,Bargain Hunters,High
250,47,47.0,18,4.2,1.0,Bargain Hunters,High
251,25,25.0,9,4.0,1.0,Bargain Hunters,High
252,51,51.0,34,2.5,1.0,Bargain Hunters,At-Risk
253,41,41.0,33,3.9,1.0,Bargain Hunters,At-Risk
254,73,73.0,15,4.9,1.0,Bargain Hunters,High
255,42,42.0,4,3.5,1.0,Bargain Hunters,At-Risk
256,20,20.0,25,4.2,1.0,Bargain Hunters,High
257,30,30.0,20,4.7,1.0,Bargain Hunters,High
258,53,53.0,5,4.5,1.0,Bargain Hunters,High
259,74,74.0,16,2.8,1.0,Bargain Hunters,At-Risk
260,57,57.0,13,2.9,1.0,Bargain Hunters,At-Risk
261,57,57.0,11,3.2,1.0,Bargain Hunters,At-Risk
262,77,77.0,21,4.9,1.0,Bargain Hunters,High
263,40,40.0,6,3.7,1.0,Bargain Hunters,At-Risk
264,46,46.0,29,4.3,1.0,Bargain Hunters,High
265,78,78.0,15,3.9,1.0,Bargain Hunters,At-Risk
266,59,59.0,17,3.2,1.0,Bargain Hunters,At-Risk
267,75,75.0,32,3.1,1.0,Bargain Hunters,At-Risk
268,54,54.0,42,3.9,1.0,Bargain Hunters,At-Risk
269,42,42.0,21,2.6,1.0,Bargain Hunters,At-Risk
270,44,44.0,9,3.3,1.0,Bargain Hunters,At-Risk
271,52,52.0,16,4.6,1.0,Bargain Hunters,High
272,69,69.0,42,4.6,1.0,Bargain Hunters,High
273,26,26.0,37,4.4,1.0,Bargain Hunters,High
274,33,33.0,32,4.2,1.0,Bargain Hunters,High
275,32,32.0,28,3.0,1.0,Bargain Hunters,At-Risk
276,85,85.0,13,4.0,1.0,Bargain Hunters,High
277,30,30.0,11,3.5,1.0,Bargain Hunters,At-Risk
278,29,29.0,36,3.0,1.0,Bargain Hunters,At-Risk
279,95,95.0,23,3.7,1.0,Bargain Hunters,At-Risk
280,69,69.0,37,4.0,1.0,Bargain Hunters,High
281,69,69.0,21,4.2,1.0,Bargain Hunters,High
282,61,61.0,22,2.5,1.0,Bargain Hunters,At-Risk
283,94,94.0,9,3.0,1.0,Bargain Hunters,At-Risk
284,30,30.0,16,3.2,1.0,Bargain Hunters,At-Risk
285,45,45.0,4,3.5,1.0,Bargain Hunters,At-Risk
286,39,39.0,3,4.8,1.0,Bargain Hunters,High
287,51,51.0,6,2.6,1.0,Bargain Hunters,At-Risk
288,37,37.0,18,3.4,1.0,Bargain Hunters,At-Risk
289,62,62.0,34,3.7,1.0,Bargain Hunters,At-Risk
290,85,85.0,26,4.5,1.0,Bargain Hunters,High
291,33,33.0,50,3.7,1.0,Bargain Hunters,At-Risk
292,26,26.0,40,3.3,1.0,Bargain Hunters,At-Risk
293,99,99.0,24,4.7,1.0,Bargain Hunters,High
294,39,39.0,33,2.7,1.0,Bargain Hunters,At-Risk
295,20,20.0,19,4.6,1.0,Bargain Hunters,High
296,42,42.0,24,2.7,1.0,Bargain Hunters,At-Risk
297,74,74.0,19,4.8,1.0,Bargain Hunters,High
298,26,26.0,4,4.4,1.0,Bargain Hunters,High
299,53,53.0,11,4.0,1.0,Bargain Hunters,High
300,80,80.0,28,3.2,1.0,Bargain Hunters,At-Risk
301,98,98.0,24,4.4,1.0,Bargain Hunters,High
302,95,95.0,25,3.8,1.0,Bargain Hunters,At-Risk
303,44,44.0,27,3.6,1.0,Bargain Hunters,At-Risk
304,60,60.0,49,3.3,1.0,Bargain Hunters,At-Risk
305,84,84.0,45,3.4,1.0,Bargain Hunters,At-Risk
306,59,59.0,26,3.5,1.0,Bargain Hunters,At-Risk
307,49,49.0,4,3.6,1.0,Bargain Hunters,At-Risk
308,32,32.0,3,3.2,1.0,Bargain Hunters,At-Risk
309,29,29.0,45,3.7,1.0,Bargain Hunters,At-Risk
310,22,22.0,21,4.5,1.0,Bargain Hunters,High
311,85,85.0,50,4.6,1.0,Bargain Hunters,High
312,52,52.0,19,4.1,1.0,Bargain Hunters,High
313,89,89.0,6,3.4,1.0,Bargain Hunters,At-Risk
314,77,77.0,50,3.7,1.0,Bargain Hunters,At-Risk
315,24,24.0,17,3.3,1.0,Bargain Hunters,At-Risk
316,24,24.0,24,4.5,1.0,Bargain Hunters,High
317,22,22.0,46,3.3,1.0,Bargain Hunters,At-Risk
318,82,82.0,42,4.3,1.0,Bargain Hunters,High
319,67,67.0,10,2.5,1.0,Bargain Hunters,At-Risk
320,74,74.0,1,2.6,1.0,Bargain Hunters,At-Risk
321,72,72.0,28,4.9,1.0,Bargain Hunters,High
322,36,36.0,48,4.7,1.0,Bargain Hunters,High
323,95,95.0,47,3.0,1.0,Bargain Hunters,At-Risk
324,78,78.0,29,3.5,1.0,Bargain Hunters,At-Risk
325,82,82.0,37,4.8,1.0,Bargain Hunters,High
326,70,70.0,38,4.3,1.0,Bargain Hunters,High
327,41,41.0,48,3.2,1.0,Bargain Hunters,At-Risk
328,42,42.0,36,3.1,1.0,Bargain Hunters,At-Risk
329,50,50.0,9,2.8,1.0,Bargain Hunters,At-Risk
330,31,31.0,34,2.9,1.0,Bargain Hunters,At-Risk
331,51,51.0,43,3.7,1.0,Bargain Hunters,At-Risk
332,98,98.0,46,3.3,1.0,Bargain Hunters,At-Risk
333,86,86.0,5,2.8,1.0,Bargain Hunters,At-Risk
334,64,64.0,15,4.5,1.0,Bargain Hunters,High
335,46,46.0,30,2.6,1.0,Bargain Hunters,At-Risk
336,85,85.0,44,3.7,1.0,Bargain Hunters,At-Risk
337,81,81.0,16,4.4,1.0,Bargain Hunters,High
338,59,59.0,16,4.3,1.0,Bargain Hunters,High
339,79,79.0,16,3.5,1.0,Bargain Hunters,At-Risk
340,33,33.0,21,3.8,1.0,Bargain Hunters,At-Risk
341,47,47.0,39,3.5,1.0,Bargain Hunters,At-Risk
342,20,20.0,40,4.6,1.0,Bargain Hunters,High
343,36,36.0,48,2.6,1.0,Bargain Hunters,At-Risk
344,39,39.0,26,4.4,1.0,Bargain Hunters,High
345,71,71.0,46,4.0,1.0,Bargain Hunters,High
346,59,59.0,27,4.4,1.0,Bargain Hunters,High
347,50,50.0,5,4.7,1.0,Bargain Hunters,High
348,41,41.0,43,3.9,1.0,Bargain Hunters,At-Risk
349,59,59.0,17,2.7,1.0,Bargain Hunters,At-Risk
350,87,87.0,3,3.7,1.0,Bargain Hunters,At-Risk
351,68,68.0,47,2.6,1.0,Bargain Hunters,At-Risk
352,90,90.0,24,3.9,1.0,Bargain Hunters,At-Risk
353,71,71.0,12,4.9,1.0,Bargain Hunters,High
354,64,64.0,35,4.1,1.0,Bargain Hunters,High
355,76,76.0,42,3.0,1.0,Bargain Hunters,At-Risk
356,42,42.0,1,4.1,1.0,Bargain Hunters,High
357,80,80.0,27,3.8,1.0,Bargain Hunters,At-Risk
358,56,56.0,16,4.0,1.0,Bargain Hunters,High
359,25,25.0,36,3.6,1.0,Bargain Hunters,At-Risk
360,74,74.0,30,3.0,1.0,Bargain Hunters,At-Risk
361,30,30.0,18,3.0,1.0,Bargain Hunters,At-Risk
362,96,96.0,45,2.6,1.0,Bargain Hunters,At-Risk
363,64,64.0,1,3.4,1.0,Bargain Hunters,At-Risk
364,88,88.0,42,3.1,1.0,Bargain Hunters,At-Risk
365,88,88.0,7,3.0,1.0,Bargain Hunters,At-Risk
366,88,88.0,50,3.7,1.0,Bargain Hunters,At-Risk
367,36,36.0,37,3.5,1.0,Bargain Hunters,At-Risk
368,40,40.0,18,2.8,1.0,Bargain Hunters,At-Risk
369,39,39.0,29,4.5,1.0,Bargain Hunters,High
370,40,40.0,45,3.3,1.0,Bargain Hunters,At-Risk
371,34,34.0,13,3.4,1.0,Bargain Hunters,At-Risk
372,83,83.0,47,3.2,1.0,Bargain Hunters,At-Risk
373,85,85.0,7,3.7,1.0,Bargain Hunters,At-Risk
374,27,27.0,11,4.6,1.0,Bargain Hunters,High
375,78,78.0,39,5.0,1.0,Bargain Hunters,High
376,32,32.0,6,4.4,1.0,Bargain Hunters,High
377,51,51.0,2,4.9,1.0,Bargain Hunters,High
378,32,32.0,39,4.1,1.0,Bargain Hunters,High
379,62,62.0,23,4.9,1.0,Bargain Hunters,High
380,29,29.0,46,4.7,1.0,Bargain Hunters,High
381,69,69.0,19,3.0,1.0,Bargain Hunters,At-Risk
382,25,25.0,3,3.4,1.0,Bargain Hunters,At-Risk
383,76,76.0,47,3.2,1.0,Bargain Hunters,At-Risk
384,77,77.0,6,2.9,1.0,Bargain Hunters,At-Risk
385,33,33.0,6,4.5,1.0,Bargain Hunters,High
386,93,93.0,12,2.7,1.0,Bargain Hunters,At-Risk
387,39,39.0,40,3.4,1.0,Bargain Hunters,At-Risk
388,93,93.0,38,4.6,1.0,Bargain Hunters,High
389,82,82.0,10,2.7,1.0,Bargain Hunters,At-Risk
390,42,42.0,28,4.2,1.0,Bargain Hunters,High
391,71,71.0,19,3.2,1.0,Bargain Hunters,At-Risk
392,86,86.0,25,4.8,1.0,Bargain Hunters,High
393,82,82.0,38,3.3,1.0,Bargain Hunters,At-Risk
394,65,65.0,6,4.2,1.0,Bargain Hunters,High
395,29,29.0,7,4.8,1.0,Bargain Hunters,High
396,65,65.0,2,4.9,1.0,Bargain Hunters,High
397,88,88.0,24,3.9,1.0,Bargain Hunters,At-Risk
398,46,46.0,26,3.0,1.0,Bargain Hunters,At-Risk
399,67,67.0,25,4.6,1.0,Bargain Hunters,High
400,35,35.0,10,3.5,1.0,Bargain Hunters,At-Risk
401,66,66.0,14,4.8,1.0,Bargain Hunters,High
402,91,91.0,21,4.8,1.0,Bargain Hunters,High
403,78,78.0,26,3.0,1.0,Bargain Hunters,At-Risk
404,45,45.0,12,4.5,1.0,Bargain Hunters,High
405,93,93.0,11,4.8,1.0,Bargain Hunters,High
406,74,74.0,15,3.8,1.0,Bargain Hunters,At-Risk
407,55,55.0,13,4.6,1.0,Bargain Hunters,High
408,76,76.0,5,3.1,1.0,Bargain Hunters,At-Risk
409,66,66.0,36,3.4,1.0,Bargain Hunters,At-Risk
410,51,51.0,32,3.3,1.0,Bargain Hunters,At-Risk
411,26,26.0,1,4.8,1.0,Bargain Hunters,High
412,29,29.0,15,2.8,1.0,Bargain Hunters,At-Risk
413,74,74.0,3,3.1,1.0,Bargain Hunters,At-Risk
414,99,99.0,48,4.6,1.0,Bargain Hunters,High
415,88,88.0,30,2.6,1.0,Bargain Hunters,At-Risk
416,31,31.0,40,2.6,1.0,Bargain Hunters,At-Risk
417,55,55.0,24,3.8,1.0,Bargain Hunters,At-Risk
418,81,81.0,48,4.5,1.0,Bargain Hunters,High
419,73,73.0,27,3.0,1.0,Bargain Hunters,At-Risk
420,91,91.0,14,3.5,1.0,Bargain Hunters,At-Risk
421,54,54.0,18,3.8,1.0,Bargain Hunters,At-Risk
422,40,40.0,48,3.5,1.0,Bargain Hunters,At-Risk
423,59,59.0,32,3.1,1.0,Bargain Hunters,At-Risk
424,26,26.0,21,3.0,1.0,Bargain Hunters,At-Risk
425,23,23.0,42,4.3,1.0,Bargain Hunters,High
426,87,87.0,4,3.3,1.0,Bargain Hunters,At-Risk
427,71,71.0,19,4.7,1.0,Bargain Hunters,High
428,91,91.0,6,4.5,1.0,Bargain Hunters,High
429,64,64.0,2,2.9,1.0,Bargain Hunters,At-Risk
430,94,94.0,21,4.1,1.0,Bargain Hunters,High
431,40,40.0,40,3.5,1.0,Bargain Hunters,At-Risk
432,76,76.0,33,3.4,1.0,Bargain Hunters,At-Risk
433,86,86.0,26,3.3,1.0,Bargain Hunters,At-Risk
434,92,92.0,23,3.2,1.0,Bargain Hunters,At-Risk
435,52,52.0,39,4.0,1.0,Bargain Hunters,High
436,28,28.0,42,3.6,1.0,Bargain Hunters,At-Risk
437,46,46.0,41,4.6,1.0,Bargain Hunters,High
438,50,50.0,41,2.6,1.0,Bargain Hunters,At-Risk
439,23,23.0,12,4.3,1.0,Bargain Hunters,High
440,50,50.0,31,3.4,1.0,Bargain Hunters,At-Risk
441,89,89.0,34,3.5,1.0,Bargain Hunters,At-Risk
442,81,81.0,32,4.2,1.0,Bargain Hunters,High
443,69,69.0,31,3.5,1.0,Bargain Hunters,At-Risk
444,67,67.0,24,3.6,1.0,Bargain Hunters,At-Risk
